model,top1,top1_err,top5,top5_err,param_count,img_size,cropt_pct,interpolation
ig_resnext101_32x16d,84.17,15.83,97.198,2.802,194.03,224,0.875,bilinear
volo_d1_224,84.162,15.838,96.776,3.224,26.63,224,0.96,bicubic
pit_b_distilled_224,84.14,15.86,96.856,3.144,74.79,224,0.9,bicubic
tf_efficientnet_b6,84.11,15.89,96.888,3.112,43.04,528,0.942,bicubic
cait_xs24_384,84.062,15.938,96.89,3.11,26.67,384,1.0,bicubic
regnetz_d8_evos,84.054,15.946,96.996,3.004,23.46,320,0.95,bicubic
regnetz_d8,84.052,15.948,96.994,3.006,23.37,320,1.0,bicubic
tf_efficientnet_b3_ns,84.048,15.952,96.908,3.092,12.23,300,0.904,bicubic
vit_small_r26_s32_384,84.042,15.958,97.328,2.672,36.47,384,1.0,bicubic
regnetz_d32,84.022,15.978,96.866,3.134,27.58,320,0.95,bicubic
resnetv2_50x3_bitm,84.014,15.986,97.124,2.876,217.32,448,1.0,bilinear
eca_nfnet_l1,84.012,15.988,97.028,2.972,41.41,320,1.0,bicubic
resnet200d,83.964,16.036,96.824,3.176,64.69,320,1.0,bicubic
swin_s3_base_224,83.932,16.068,96.66,3.34,71.13,224,0.9,bicubic
regnety_080,83.926,16.074,96.888,3.112,39.18,288,1.0,bicubic
