model,top1,top1_err,top5,top5_err,param_count,img_size,cropt_pct,interpolation
xcit_small_24_p16_224,82.58,17.42,96.006,3.994,47.67,224,1.0,bicubic
eca_nfnet_l0,82.576,17.424,96.49,3.51,24.14,288,1.0,bicubic
xcit_tiny_24_p16_384_dist,82.572,17.428,96.288,3.712,12.12,384,1.0,bicubic
xcit_tiny_24_p8_224_dist,82.564,17.436,96.17,3.83,12.11,224,1.0,bicubic
resnet61q,82.526,17.474,96.134,3.866,36.85,288,1.0,bicubic
crossvit_18_dagger_240,82.52,17.48,96.07,3.93,44.27,240,0.875,bicubic
regnetz_c16,82.516,17.484,96.36,3.64,13.46,320,0.94,bicubic
gc_efficientnetv2_rw_t,82.466,17.534,96.296,3.704,13.68,288,1.0,bicubic
poolformer_m48,82.462,17.538,95.958,4.042,73.47,224,0.95,bicubic
pit_b_224,82.446,17.554,95.71,4.29,73.76,224,0.9,bicubic
crossvit_18_240,82.398,17.602,96.058,3.942,43.27,240,0.875,bicubic
xcit_tiny_12_p8_384_dist,82.394,17.606,96.22,3.78,6.71,384,1.0,bicubic
tf_efficientnet_b2_ns,82.38,17.62,96.248,3.752,9.11,260,0.89,bicubic
resnet51q,82.362,17.638,96.18,3.82,35.7,288,1.0,bilinear
ecaresnet50t,82.348,17.652,96.138,3.862,25.57,320,0.95,bicubic
efficientnetv2_rw_t,82.344,17.656,96.196,3.804,13.65,288,1.0,bicubic
resnetv2_101x1_bitm,82.336,17.664,96.516,3.484,44.54,448,1.0,bilinear
crossvit_15_dagger_240,82.33,17.67,95.958,4.042,28.21,240,0.875,bicubic
mixer_b16_224_miil,82.308,17.692,95.718,4.282,59.88,224,0.875,bilinear
coat_lite_small,82.304,17.696,95.848,4.152,19.84,224,0.9,bicubic
resnetrs101,82.288,17.712,96.01,3.99,63.62,288,0.94,bicubic
convit_base,82.286,17.714,95.938,4.062,86.54,224,0.875,bicubic
tresnet_l_448,82.268,17.732,95.982,4.018,55.99,448,0.875,bilinear
efficientnet_b3,82.24,17.76,96.114,3.886,12.23,320,1.0,bicubic
convnext_tiny_hnf,82.222,17.778,95.866,4.134,28.59,224,0.95,bicubic
crossvit_base_240,82.216,17.784,95.834,4.166,105.03,240,0.875,bicubic
cait_xxs36_384,82.194,17.806,96.144,3.856,17.37,384,1.0,bicubic
swsl_resnext50_32x4d,82.176,17.824,96.232,3.768,25.03,224,0.875,bilinear
ecaresnet101d,82.172,17.828,96.046,3.954,44.57,224,0.875,bicubic
swin_s3_tiny_224,82.126,17.874,95.95,4.05,28.33,224,0.9,bicubic
poolformer_m36,82.112,17.888,95.69,4.31,56.17,224,0.95,bicubic
visformer_small,82.106,17.894,95.874,4.126,40.22,224,0.9,bicubic
convnext_tiny,82.064,17.936,95.852,4.148,28.59,224,0.875,bicubic
halo2botnet50ts_256,82.06,17.94,95.642,4.358,22.64,256,0.95,bicubic
tresnet_xl,82.058,17.942,95.936,4.064,78.44,224,0.875,bilinear
fbnetv3_g,82.046,17.954,96.064,3.936,16.62,288,0.95,bilinear
resnetv2_101,82.042,17.958,95.864,4.136,44.54,224,0.95,bicubic
deit_base_patch16_224,81.996,18.004,95.732,4.268,86.57,224,0.9,bicubic
pit_s_distilled_224,81.994,18.006,95.798,4.202,24.04,224,0.9,bicubic
resnetv2_50d_evos,81.98,18.02,95.91,4.09,25.59,288,0.95,bicubic
xcit_small_12_p16_224,81.976,18.024,95.818,4.182,26.25,224,1.0,bicubic
tf_efficientnetv2_b3,81.966,18.034,95.78,4.22,14.36,300,0.904,bicubic
xception41p,81.96,18.04,95.794,4.206,26.91,299,0.94,bicubic
resnet101,81.932,18.068,95.77,4.23,44.55,224,0.95,bicubic
xcit_tiny_24_p8_224,81.892,18.108,95.976,4.024,12.11,224,1.0,bicubic
vit_small_r26_s32_224,81.856,18.144,96.02,3.98,36.43,224,0.9,bicubic
ssl_resnext101_32x16d,81.854,18.146,96.096,3.904,194.03,224,0.875,bilinear
tf_efficientnet_b3_ap,81.826,18.174,95.622,4.378,12.23,300,0.904,bicubic
resnetv2_50d_gn,81.818,18.182,95.922,4.078,25.57,288,0.95,bicubic
tresnet_m_448,81.704,18.296,95.572,4.428,31.39,448,0.875,bilinear
twins_svt_small,81.68,18.32,95.67,4.33,24.06,224,0.9,bicubic
halonet50ts,81.66,18.34,95.612,4.388,22.73,256,0.94,bicubic
tf_efficientnet_b3,81.636,18.364,95.718,4.282,12.23,300,0.904,bicubic
rexnet_200,81.63,18.37,95.668,4.332,16.37,224,0.875,bicubic
ssl_resnext101_32x8d,81.608,18.392,96.042,3.958,88.79,224,0.875,bilinear
lamhalobotnet50ts_256,81.546,18.454,95.502,4.498,22.57,256,0.95,bicubic
crossvit_15_240,81.542,18.458,95.69,4.31,27.53,240,0.875,bicubic
tf_efficientnet_lite4,81.536,18.464,95.668,4.332,13.01,380,0.92,bilinear
tnt_s_patch16_224,81.52,18.48,95.744,4.256,23.76,224,0.9,bicubic
vit_large_patch32_384,81.506,18.494,96.094,3.906,306.63,384,1.0,bicubic
levit_256,81.506,18.494,95.492,4.508,18.89,224,0.9,bicubic
tresnet_l,81.492,18.508,95.624,4.376,55.99,224,0.875,bilinear
wide_resnet50_2,81.452,18.548,95.53,4.47,68.88,224,0.875,bicubic
convit_small,81.42,18.58,95.74,4.26,27.78,224,0.875,bicubic
jx_nest_tiny,81.42,18.58,95.618,4.382,17.06,224,0.875,bicubic
poolformer_s36,81.418,18.582,95.45,4.55,30.86,224,0.9,bicubic
vit_small_patch16_224,81.396,18.604,96.132,3.868,22.05,224,0.9,bicubic
tf_efficientnet_b1_ns,81.388,18.612,95.736,4.264,7.79,240,0.882,bicubic
swin_tiny_patch4_window7_224,81.374,18.626,95.544,4.456,28.29,224,0.9,bicubic
convmixer_1536_20,81.366,18.634,95.614,4.386,51.63,224,0.96,bicubic
gernet_l,81.344,18.656,95.532,4.468,31.08,256,0.875,bilinear
efficientnet_el,81.31,18.69,95.53,4.47,10.59,300,0.904,bicubic
legacy_senet154,81.31,18.69,95.496,4.504,115.09,224,0.875,bilinear
coat_mini,81.266,18.734,95.394,4.606,10.34,224,0.9,bicubic
seresnext50_32x4d,81.258,18.742,95.63,4.37,27.56,224,0.875,bicubic
gluon_senet154,81.232,18.768,95.348,4.652,115.09,224,0.875,bicubic
deit_small_distilled_patch16_224,81.208,18.792,95.374,4.626,22.44,224,0.9,bicubic
xcit_tiny_12_p8_224_dist,81.208,18.792,95.6,4.4,6.71,224,1.0,bicubic
swsl_resnet50,81.174,18.826,95.978,4.022,25.56,224,0.875,bilinear
sebotnet33ts_256,81.156,18.844,95.17,4.83,13.7,256,0.94,bicubic
resmlp_36_distilled_224,81.154,18.846,95.488,4.512,44.69,224,0.875,bicubic
lambda_resnet50ts,81.146,18.854,95.102,4.898,21.54,256,0.95,bicubic
resnest50d_4s2x40d,81.11,18.89,95.564,4.436,30.42,224,0.875,bicubic
resnext50_32x4d,81.108,18.892,95.326,4.674,25.03,224,0.95,bicubic
pit_s_224,81.1,18.9,95.33,4.67,23.46,224,0.9,bicubic
twins_pcpvt_small,81.09,18.91,95.64,4.36,24.11,224,0.9,bicubic
haloregnetz_b,81.05,18.95,95.196,4.804,11.68,224,0.94,bicubic
resmlp_big_24_224,81.032,18.968,95.02,4.98,129.14,224,0.875,bicubic
crossvit_small_240,81.018,18.982,95.456,4.544,26.86,240,0.875,bicubic
gluon_resnet152_v1s,81.016,18.984,95.412,4.588,60.32,224,0.875,bicubic
resnest50d_1s4x24d,80.99,19.01,95.324,4.676,25.68,224,0.875,bicubic
resnest50d,80.982,19.018,95.38,4.62,27.48,224,0.875,bilinear
cait_xxs24_384,80.966,19.034,95.646,4.354,12.03,384,1.0,bicubic
sehalonet33ts,80.964,19.036,95.272,4.728,13.69,256,0.94,bicubic
xcit_tiny_12_p16_384_dist,80.944,19.056,95.412,4.588,6.72,384,1.0,bicubic
gcresnet50t,80.942,19.058,95.454,4.546,25.9,256,0.9,bicubic
ssl_resnext101_32x4d,80.924,19.076,95.726,4.274,44.18,224,0.875,bilinear
gluon_seresnext101_32x4d,80.906,19.094,95.294,4.706,48.96,224,0.875,bicubic
gluon_seresnext101_64x4d,80.878,19.122,95.298,4.702,88.23,224,0.875,bicubic
efficientnet_b3_pruned,80.858,19.142,95.244,4.756,9.86,300,0.904,bicubic
ecaresnet101d_pruned,80.814,19.186,95.63,4.37,24.88,224,0.875,bicubic
regnety_320,80.81,19.19,95.244,4.756,145.05,224,0.875,bicubic
resmlp_24_distilled_224,80.764,19.236,95.224,4.776,30.02,224,0.875,bicubic
gernet_m,80.744,19.256,95.184,4.816,21.14,224,0.875,bilinear
vit_base_patch32_224,80.722,19.278,95.566,4.434,88.22,224,0.9,bicubic
regnetz_b16,80.714,19.286,95.478,4.522,9.72,288,0.94,bicubic
nf_resnet50,80.654,19.346,95.334,4.666,25.56,288,0.94,bicubic
efficientnet_b2,80.614,19.386,95.316,4.684,9.11,288,1.0,bicubic
gluon_resnext101_64x4d,80.604,19.396,94.992,5.008,83.46,224,0.875,bicubic
ecaresnet50d,80.6,19.4,95.32,4.68,25.58,224,0.875,bicubic
gcresnext50ts,80.578,19.422,95.17,4.83,15.67,256,0.9,bicubic
resnet50d,80.522,19.478,95.162,4.838,25.58,224,0.875,bicubic
repvgg_b3,80.496,19.504,95.264,4.736,123.09,224,0.875,bilinear
vit_small_patch32_384,80.484,19.516,95.6,4.4,22.92,384,1.0,bicubic
gluon_resnet152_v1d,80.476,19.524,95.204,4.796,60.21,224,0.875,bicubic
mixnet_xl,80.474,19.526,94.934,5.066,11.9,224,0.875,bicubic
inception_resnet_v2,80.46,19.54,95.308,4.692,55.84,299,0.897,bicubic
ecaresnetlight,80.452,19.548,95.25,4.75,30.16,224,0.875,bicubic
xcit_tiny_24_p16_224_dist,80.446,19.554,95.216,4.784,12.12,224,1.0,bicubic
resnetv2_50,80.42,19.58,95.074,4.926,25.55,224,0.95,bicubic
gluon_resnet101_v1d,80.42,19.58,95.016,4.984,44.57,224,0.875,bicubic
resnet50,80.376,19.624,94.616,5.384,25.56,224,0.95,bicubic
regnety_120,80.376,19.624,95.126,4.874,51.82,224,0.875,bicubic
seresnet33ts,80.35,19.65,95.106,4.894,19.78,256,0.9,bicubic
gluon_resnext101_32x4d,80.344,19.656,94.926,5.074,44.18,224,0.875,bicubic
resnetv2_50x1_bitm,80.342,19.658,95.68,4.32,25.55,448,1.0,bilinear
ssl_resnext50_32x4d,80.316,19.684,95.41,4.59,25.03,224,0.875,bilinear
poolformer_s24,80.314,19.686,95.046,4.954,21.39,224,0.9,bicubic
rexnet_150,80.31,19.69,95.166,4.834,9.73,224,0.875,bicubic
tf_efficientnet_b2_ap,80.302,19.698,95.028,4.972,9.11,260,0.89,bicubic
efficientnet_el_pruned,80.302,19.698,95.216,4.784,10.59,300,0.904,bicubic
gluon_resnet101_v1s,80.298,19.702,95.164,4.836,44.67,224,0.875,bicubic
seresnet50,80.264,19.736,95.072,4.928,28.09,224,0.875,bicubic
tf_efficientnet_el,80.25,19.75,95.122,4.878,10.59,300,0.904,bicubic
vit_base_patch16_224_sam,80.242,19.758,94.754,5.246,86.57,224,0.9,bicubic
regnetx_320,80.24,19.76,95.022,4.978,107.81,224,0.875,bicubic
legacy_seresnext101_32x4d,80.224,19.776,95.01,4.99,48.96,224,0.875,bilinear
repvgg_b3g4,80.212,19.788,95.106,4.894,83.83,224,0.875,bilinear
tf_efficientnetv2_b2,80.206,19.794,95.042,4.958,10.1,260,0.89,bicubic
dpn107,80.172,19.828,94.906,5.094,86.92,224,0.875,bicubic
convmixer_768_32,80.164,19.836,95.072,4.928,21.11,224,0.96,bicubic
inception_v4,80.162,19.838,94.966,5.034,42.68,299,0.875,bicubic
skresnext50_32x4d,80.152,19.848,94.644,5.356,27.48,224,0.875,bicubic
tf_efficientnet_b2,80.08,19.92,94.908,5.092,9.11,260,0.89,bicubic
eca_resnet33ts,80.08,19.92,94.97,5.03,19.68,256,0.9,bicubic
gcresnet33ts,80.08,19.92,95.0,5.0,19.88,256,0.9,bicubic
cspdarknet53,80.062,19.938,95.084,4.916,27.64,256,0.887,bilinear
resnet50_gn,80.054,19.946,94.948,5.052,25.56,224,0.94,bicubic
cspresnext50,80.05,19.95,94.946,5.054,20.57,224,0.875,bilinear
dpn92,80.016,19.984,94.824,5.176,37.67,224,0.875,bicubic
ens_adv_inception_resnet_v2,79.978,20.022,94.938,5.062,55.84,299,0.897,bicubic
efficientnet_b2_pruned,79.916,20.084,94.854,5.146,8.31,260,0.89,bicubic
gluon_seresnext50_32x4d,79.914,20.086,94.832,5.168,27.56,224,0.875,bicubic
gluon_resnet152_v1c,79.908,20.092,94.848,5.152,60.21,224,0.875,bicubic
resnetrs50,79.886,20.114,94.966,5.034,35.69,224,0.91,bicubic
xception71,79.876,20.124,94.922,5.078,42.34,299,0.903,bicubic
deit_small_patch16_224,79.86,20.14,95.046,4.954,22.05,224,0.9,bicubic
regnetx_160,79.85,20.15,94.83,5.17,54.28,224,0.875,bicubic
ecaresnet26t,79.848,20.152,95.086,4.914,16.01,320,0.95,bicubic
levit_192,79.832,20.168,94.786,5.214,10.95,224,0.9,bicubic
dpn131,79.824,20.176,94.708,5.292,79.25,224,0.875,bicubic
tf_efficientnet_lite3,79.82,20.18,94.912,5.088,8.2,300,0.904,bilinear
resmlp_36_224,79.768,20.232,94.886,5.114,44.69,224,0.875,bicubic
cait_xxs36_224,79.748,20.252,94.866,5.134,17.3,224,1.0,bicubic
gluon_xception65,79.716,20.284,94.86,5.14,39.92,299,0.903,bicubic
ecaresnet50d_pruned,79.708,20.292,94.88,5.12,19.94,224,0.875,bicubic
xcit_tiny_12_p8_224,79.69,20.31,95.054,4.946,6.71,224,1.0,bicubic
fbnetv3_d,79.682,20.318,94.948,5.052,10.31,256,0.95,bilinear
gluon_resnet152_v1b,79.68,20.32,94.738,5.262,60.19,224,0.875,bicubic
resnext50d_32x4d,79.67,20.33,94.864,5.136,25.05,224,0.875,bicubic
